MEAN_RR,RMSSD,condition,leverage_cap
885.1578445866667,15.55450455844723,no stress,1.0
939.4253707266668,12.964439460159,interruption,0.5
898.1860468266667,16.30527866953465,interruption,0.5
881.7578645266667,15.72046848681109,no stress,1.0
809.6253311400001,19.21381886895778,no stress,1.0
923.28386612,9.965975715252922,no stress,1.0
973.2529080266668,10.64419642402731,no stress,1.0
715.9146819466666,9.477726724210742,no stress,1.0
814.2570212533333,14.63223159608461,interruption,0.5
959.6945909533332,12.01540008452805,no stress,1.0
848.6209148400001,14.14265421401657,time pressure,0.1
933.5856051266666,16.35778155361762,no stress,1.0
708.8872922333333,11.98799821143728,no stress,1.0
772.74660672,10.28816219115592,interruption,0.5
810.7478067600001,19.30348761855367,no stress,1.0
627.7869333266667,17.43763594823957,no stress,1.0
925.6988471666668,14.7562855770856,no stress,1.0
761.92271506,17.74610820113513,no stress,1.0
776.4001781066667,10.97499613820671,time pressure,0.1
810.5444306733332,14.03395464418276,interruption,0.5
801.00119408,8.846026364758885,no stress,1.0
811.1076348266666,8.427790930833224,no stress,1.0
793.6120422933333,14.78600362989247,time pressure,0.1
994.5599085799998,21.8442541902878,interruption,0.5
775.1714689666666,13.42666905274929,interruption,0.5
729.5015011133332,23.53845167442995,interruption,0.5
864.2132613533335,21.99754356555697,interruption,0.5
922.0927322733332,11.46155873193194,no stress,1.0
571.6601676266666,8.850101059009353,time pressure,0.1
863.2448369866665,15.12393182758876,no stress,1.0
739.82035254,10.95086177154363,no stress,1.0
983.38931592,21.9877969893382,no stress,1.0
771.67115132,9.221930143187093,interruption,0.5
925.6768887733332,14.75225969877873,no stress,1.0
856.0275776200001,16.08007180600145,interruption,0.5
938.1048517666668,11.72771830147578,time pressure,0.1
949.9758167733332,12.50436114028697,time pressure,0.1
822.1515482733333,17.86505107683664,interruption,0.5
714.8008667199999,21.5072476063123,no stress,1.0
792.2463529333334,12.09815753107333,no stress,1.0
854.3363245266667,16.08968483536887,time pressure,0.1
797.7778075,8.882391442864726,no stress,1.0
771.8306245000001,9.358979159896892,interruption,0.5
789.8233839266667,13.0781370518558,no stress,1.0
797.5565245399999,18.57616253765969,no stress,1.0
775.2157269133334,10.75871566383726,no stress,1.0
997.62721086,21.36873475613718,interruption,0.5
817.3710611399999,18.23000924444204,no stress,1.0
787.1961850133333,13.12171263263733,no stress,1.0
766.4249847866668,9.80070258071502,interruption,0.5
1022.578529546667,21.03977358210933,interruption,0.5
787.2624685066666,14.55420862932131,interruption,0.5
1050.397293093333,18.14651221591304,no stress,1.0
759.5248097199999,9.380021503318977,interruption,0.5
930.8841579,13.92893085829927,interruption,0.5
832.8546420666665,17.14392959364984,no stress,1.0
766.5930198399999,14.87873273442894,interruption,0.5
1098.97291184,17.36756950978104,interruption,0.5
875.1250104933334,16.92929981995962,time pressure,0.1
766.94818158,10.79156628458215,no stress,1.0
924.5860465533332,11.874040162526,time pressure,0.1
697.7325850066667,19.8358863992687,no stress,1.0
757.6748784866667,10.67537786775315,no stress,1.0
793.2506517666667,11.64686774787732,no stress,1.0
919.1519359733334,18.11382929073942,no stress,1.0
835.0888319600001,18.14491814741226,interruption,0.5
878.5802979933334,21.29185355427961,interruption,0.5
729.6363104666667,10.08467778089205,no stress,1.0
988.1410855466668,20.38919898576039,interruption,0.5
942.7002254733336,16.00798574869036,no stress,1.0
989.0857138533332,17.88181068034552,time pressure,0.1
787.8219556733333,12.09092203025286,no stress,1.0
761.85795398,9.535968957619472,interruption,0.5
904.4351936333336,14.27453933540496,time pressure,0.1
791.4315016133334,12.09271519479141,no stress,1.0
1075.408183266667,22.02274473607342,no stress,1.0
760.0252916666667,18.87945031205246,no stress,1.0
865.1936544266666,11.90991763377896,time pressure,0.1
720.5715426133333,22.37475462422048,no stress,1.0
811.0858941333332,14.10360284684063,interruption,0.5
886.3620064266665,14.04608540780358,time pressure,0.1
790.6597342733334,13.12508347074347,no stress,1.0
976.39793732,19.15603632487373,interruption,0.5
591.3144293066666,19.12157847047673,no stress,1.0
833.2517038733333,10.99288327421504,no stress,1.0
664.6097690666667,9.36774638446165,no stress,1.0
750.9449223533334,18.81804628490997,interruption,0.5
727.9005588999999,10.24460214992224,no stress,1.0
1003.830864073333,14.93639653323764,time pressure,0.1
793.38457186,12.43905778665209,no stress,1.0
778.22043742,26.03462809859359,interruption,0.5
751.3553560333335,9.821488508575168,no stress,1.0
734.0355307466667,9.61330520991424,no stress,1.0
638.94334242,8.337948321453808,no stress,1.0
927.9091593333334,11.25656152486518,no stress,1.0
962.9814396466666,17.51656179172969,time pressure,0.1
859.83213272,14.44026826851559,time pressure,0.1
730.6784764466667,16.65179923136726,interruption,0.5
729.2982664266666,10.09051744437515,no stress,1.0
863.7537733733334,14.09863961547006,no stress,1.0
803.2235465866668,12.1431212191075,interruption,0.5
1116.980645766667,18.48278726649884,time pressure,0.1
754.9361725466667,14.06921464551243,no stress,1.0
778.39605854,26.08135171453964,interruption,0.5
753.47000438,14.21584543739528,interruption,0.5
764.4850538799999,12.08114061900592,interruption,0.5
790.05118762,16.01348521203689,interruption,0.5
758.9976900999999,23.12232504824401,interruption,0.5
835.4396924933334,11.82507788491423,time pressure,0.1
853.7002431866666,22.05061747723875,interruption,0.5
702.2897643733334,16.7905163626925,no stress,1.0
876.4957220133333,13.09371662010435,no stress,1.0
731.7006072466666,9.37458637659756,no stress,1.0
894.7924191133334,17.41358570168664,interruption,0.5
750.6346242666667,14.47516423581867,interruption,0.5
988.4466269933332,18.63318541136655,interruption,0.5
890.1172274733333,17.58308103798102,time pressure,0.1
713.53376546,14.374356768545,no stress,1.0
783.3665571133333,9.89599444583664,interruption,0.5
768.3762039133334,12.59973367100606,no stress,1.0
804.0562951466668,14.62736190467596,interruption,0.5
652.5423966933333,14.6989066981554,no stress,1.0
859.4728029866666,14.27106283517904,no stress,1.0
729.8576814999999,11.33719684570294,no stress,1.0
992.0440794733332,17.34905177453526,time pressure,0.1
762.6472709266668,23.32024017958271,interruption,0.5
1088.015500573333,17.50322666924759,interruption,0.5
776.4654561866668,11.92880703993084,no stress,1.0
870.2586934800003,12.4815999301201,no stress,1.0
841.9333420866666,11.85056061745564,no stress,1.0
705.42294876,9.316960566461477,no stress,1.0
923.50661646,15.03371423980056,no stress,1.0
1024.19558382,15.51652498607756,time pressure,0.1
932.5577447533332,16.61866647552698,no stress,1.0
776.8199951333332,15.07686058731162,interruption,0.5
1051.267966073333,14.67536876434581,time pressure,0.1
901.8466448,14.09181070061361,time pressure,0.1
1048.59829348,11.25548814859986,time pressure,0.1
840.7834979,12.96522607953076,time pressure,0.1
730.1767777266667,9.734186458165102,no stress,1.0
984.2213797133332,23.32617945821573,interruption,0.5
815.7531352333333,15.01573356753063,no stress,1.0
785.9192505000001,19.11647202192244,no stress,1.0
900.0398568733333,14.14935538912442,time pressure,0.1
1028.42200094,24.37002751019675,no stress,1.0
1067.55471538,17.73616571453882,interruption,0.5
921.8740693333332,18.08411502092708,no stress,1.0
905.3651508533334,10.65986614420972,no stress,1.0
959.4869637533332,11.70156258975486,no stress,1.0
827.6863866933332,17.17146221605624,no stress,1.0
706.1833722599999,11.71798585085398,no stress,1.0
771.7295711933334,10.28090304511697,interruption,0.5
756.9322990533333,11.38354203569393,no stress,1.0
743.0585670400001,10.73315144952052,no stress,1.0
783.3682825933334,12.02073383634758,interruption,0.5
806.0029166999999,13.25081436857147,time pressure,0.1
1095.725013613333,15.06957370752867,time pressure,0.1
804.4792189933333,13.23046550662496,no stress,1.0
1103.805661166667,23.00286439185873,interruption,0.5
1006.836439346667,23.2463721846869,interruption,0.5
828.2783774333333,15.44099865105698,no stress,1.0
703.1522017399999,16.78066890170323,no stress,1.0
618.1374517333334,12.5819112852204,no stress,1.0
929.1017501466664,14.14710238876084,no stress,1.0
1001.64935098,22.95792395384262,interruption,0.5
933.4193690133334,20.2763461894602,time pressure,0.1
784.9290234733334,13.97332372267953,no stress,1.0
768.5960196399999,7.592877459681726,no stress,1.0
903.7274520733332,16.11297659065539,interruption,0.5
863.7660676133333,16.39784506834802,time pressure,0.1
785.8086336399999,13.76550539589427,no stress,1.0
937.3233798866668,20.88710824093388,interruption,0.5
1135.915277426667,21.76934899318256,interruption,0.5
685.9895643533334,15.67883267103892,no stress,1.0
675.0706032333334,12.97633420697197,no stress,1.0
740.0583625533333,10.15269834804015,no stress,1.0
855.8266587133334,17.68181587242851,time pressure,0.1
941.5835076466668,19.17721836490029,time pressure,0.1
784.3551693000001,12.5611696420795,no stress,1.0
920.1204645933332,14.6735162413994,no stress,1.0
1118.389522266667,18.85780962257645,time pressure,0.1
971.5368434333332,12.32320978926659,no stress,1.0
947.1876430333332,18.0774727492404,no stress,1.0
707.7156232066667,9.18801576046782,no stress,1.0
634.1976366,13.07045099321632,interruption,0.5
711.2256215133333,22.30599245389706,interruption,0.5
964.0782040599998,18.10351139616153,no stress,1.0
882.2512823133331,8.806674990284707,interruption,0.5
840.9433656,14.33966739615744,interruption,0.5
877.3674162933332,16.78560924841546,no stress,1.0
798.8981235866667,8.950636201098385,no stress,1.0
888.8506140466668,15.3141890405519,time pressure,0.1
765.0756681333334,9.493436466750545,interruption,0.5
1100.82980258,18.40033523239602,time pressure,0.1
972.7224476733332,15.5862957610649,no stress,1.0
710.3742699933333,15.36110514005694,no stress,1.0
1005.777729833333,16.75749359640631,interruption,0.5
894.9461973866665,14.42766797605213,time pressure,0.1
832.5248426,14.33910496321822,interruption,0.5
1207.046452906667,18.34876324712937,time pressure,0.1
1223.311535966667,15.87572639615343,interruption,0.5
898.84527148,14.96390944324753,time pressure,0.1
804.1001294666665,13.28631650265006,time pressure,0.1
688.6665059,8.54498968263541,no stress,1.0
787.5777885066665,25.72303874000686,interruption,0.5
954.6487867466668,17.05988368630997,no stress,1.0
982.72110496,15.63786421873956,time pressure,0.1
549.1736774866666,16.65807258976984,interruption,0.5
834.5936529800001,14.79237827969449,time pressure,0.1
878.4386771933334,9.08109664793236,interruption,0.5
887.00126236,16.83082382937391,no stress,1.0
871.80573018,18.30743953023241,interruption,0.5
943.2467571666666,14.32783574565784,time pressure,0.1
767.6167607266666,9.628984901909346,interruption,0.5
730.6665690266667,10.34074702311073,no stress,1.0
729.4072945333335,9.565154831838033,no stress,1.0
723.1703973666667,22.78189144070762,no stress,1.0
1041.390643726667,17.36985557021912,interruption,0.5
1046.730114386667,15.44239699609344,interruption,0.5
966.5331747666664,14.80053559437331,time pressure,0.1
920.5589698666666,18.0106504229246,no stress,1.0
821.3524648666665,12.90709454292464,interruption,0.5
819.7227503333334,19.48778171695919,no stress,1.0
850.1488864333334,15.94948815052176,interruption,0.5
768.4977796000001,25.05908938733313,interruption,0.5
